athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Yusaku KODAMA,JPN,men_400h,2023,48.77,48.77,0.0,4,0.4614,0.0,22.4
Leonardo LEDGISTER,JAM,men_400h,2021,48.79,48.79,0.0,6,0.4133,0.0,22.1
Abdelmalik LAHOULOU,ALG,men_400h,2021,48.83,48.83,0.0,3,0.31,0.0,30.2
Abdelmalik LAHOULOU,ALG,men_400h,2022,48.87,48.83,0.04,7,0.3232,-0.04,30.2
Abdelmalik LAHOULOU,ALG,men_400h,2023,48.91,48.83,0.08,8,0.3629,-0.08,30.2
Shawn ROWE,JAM,men_400h,2021,48.83,48.83,0.0,6,0.3797,0.0,28.6
Shawn ROWE,JAM,men_400h,2022,49.05,48.83,0.22,5,0.2884,-0.22,28.6
Hiromu YAMAUCHI,JPN,men_400h,2021,48.84,48.84,0.0,7,0.3242,0.0,21.9
Hiromu YAMAUCHI,JPN,men_400h,2023,49.48,48.84,0.64,3,0.2563,-0.64,21.9
İsmail NEZIR,TUR,men_400h,2022,48.84,48.84,0.0,4,0.4761,0.0,19.6
İsmail NEZIR,TUR,men_400h,2023,48.84,48.84,0.0,1,0.0,0.0,19.6
Quincy DOWNING,USA,men_400h,2021,49.42,48.86,0.56,7,0.2079,0.0,28.4
Quincy DOWNING,USA,men_400h,2022,48.86,48.86,0.0,3,0.5445,0.56,28.4
Masaki TOYODA,JPN,men_400h,2021,48.87,48.87,0.0,5,0.4583,0.0,24.0
Masaki TOYODA,JPN,men_400h,2022,49.49,48.87,0.62,5,0.1653,-0.62,24.0
Takatoshi ABE,JPN,men_400h,2021,48.87,48.87,0.0,4,0.46,0.0,29.6
Alastair CHALMERS,GBR,men_400h,2021,49.55,48.88,0.67,4,0.1961,0.0,22.1
Alastair CHALMERS,GBR,men_400h,2022,48.88,48.88,0.0,6,0.4124,0.67,22.1
Malik METIVIER,CAN,men_400h,2021,49.26,48.89,0.37,4,0.2694,0.0,23.5
Malik METIVIER,CAN,men_400h,2022,48.89,48.89,0.0,9,0.3829,0.37,23.5
Jose Reynaldo BENCOSME DE LEON,ITA,men_400h,2022,48.91,48.91,0.0,7,0.2382,0.0,30.1
Matic Ian GUČEK,SLO,men_400h,2022,48.91,48.91,0.0,7,0.3632,0.0,18.9
