athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Audrey WERRO,SUI,women_800m,2023,119.67,119.53,0.14,3,0.1514,-0.14,18.4
Svetlana ULOGA,ANA,women_800m,2021,119.55,119.55,0.0,3,0.9781,0.0,34.6
Hanna GREEN,USA,women_800m,2021,119.55,119.55,0.0,5,0.7168,0.0,26.7
Hanna GREEN,USA,women_800m,2022,120.55,119.55,1.0,4,0.5216,-1.0,26.7
Aleksandra GULYAYEVA,ANA,women_800m,2021,119.57,119.57,0.0,5,0.9825,0.0,27.3
Aleksandra GULYAYEVA,ANA,women_800m,2022,120.0,119.57,0.43,2,1.3647,-0.43,27.3
Brenna DETRA,USA,women_800m,2022,119.94,119.57,0.37,7,0.7174,0.0,27.0
Brenna DETRA,USA,women_800m,2023,119.57,119.57,0.0,2,1.2869,0.37,27.0
Agnès RAHAROLAHY,FRA,women_800m,2022,119.59,119.59,0.0,3,0.995,0.0,29.6
Agnès RAHAROLAHY,FRA,women_800m,2023,120.14,119.59,0.55,2,1.1314,-0.55,29.6
Léna KANDISSOUNON,FRA,women_800m,2023,119.65,119.65,0.0,2,0.9758,0.0,24.6
Madeleine KELLY,CAN,women_800m,2021,120.11,119.71,0.4,6,0.6495,0.0,25.5
Madeleine KELLY,CAN,women_800m,2022,119.71,119.71,0.0,4,0.6641,0.4,25.5
Madeleine KELLY,CAN,women_800m,2023,121.81,119.71,2.1,1,0.0,-2.1,25.5
Heather MACLEAN,USA,women_800m,2021,119.72,119.72,0.0,1,0.0,0.0,26.8
Heather MACLEAN,USA,women_800m,2022,119.8,119.72,0.08,2,0.7778,-0.08,26.8
Heather MACLEAN,USA,women_800m,2023,121.66,119.72,1.94,1,0.0,-1.94,26.8
Angelika SARNA,POL,women_800m,2021,119.72,119.72,0.0,7,0.7537,0.0,23.9
Angelika SARNA,POL,women_800m,2022,119.99,119.72,0.27,4,0.8816,-0.27,23.9
Katie SNOWDEN,GBR,women_800m,2021,121.58,119.72,1.86,1,0.0,0.0,28.5
Katie SNOWDEN,GBR,women_800m,2022,119.72,119.72,0.0,1,0.0,1.86,28.5
Katie SNOWDEN,GBR,women_800m,2023,120.43,119.72,0.71,1,0.0,-0.71,28.5
Natalіia KROL,UKR,women_800m,2022,120.89,119.77,1.12,2,0.6718,0.0,28.7
Natalіia KROL,UKR,women_800m,2023,119.77,119.77,0.0,4,0.9673,1.12,28.7
Kristie SCHOFFIELD,USA,women_800m,2022,119.8,119.8,0.0,5,0.7699,0.0,23.2
Kristie SCHOFFIELD,USA,women_800m,2023,121.57,119.8,1.77,2,0.1061,-1.77,23.2
Bianka KÉRI,HUN,women_800m,2023,119.8,119.8,0.0,3,1.08,0.0,29.1
Hedda HYNNE,NOR,women_800m,2021,119.82,119.82,0.0,8,0.64,0.0,31.5
Hedda HYNNE,NOR,women_800m,2022,120.23,119.82,0.41,3,0.3989,-0.41,31.5
Rababe ARAFI,MAR,women_800m,2021,119.83,119.83,0.0,4,0.542,0.0,30.4
Taryn RAWLINGS,USA,women_800m,2022,119.83,119.83,0.0,2,0.9122,0.0,26.3
Winnie NANYONDO,UGA,women_800m,2021,119.84,119.84,0.0,3,0.9639,0.0,27.9
Winnie NANYONDO,UGA,women_800m,2023,121.18,119.84,1.34,1,0.0,-1.34,27.9
Jarinter Mawia MWASYA,KEN,women_800m,2021,121.32,119.84,1.48,1,0.0,0.0,25.4
Jarinter Mawia MWASYA,KEN,women_800m,2022,119.84,119.84,0.0,7,0.713,1.48,25.4
Anna WIELGOSZ,POL,women_800m,2021,120.57,119.84,0.73,1,0.0,0.0,28.8
Anna WIELGOSZ,POL,women_800m,2022,119.84,119.84,0.0,10,0.7505,0.73,28.8
