athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Vincent Kibet KETER,KEN,men_1500m,2021,215.21,213.16,2.05,3,1.024,0.0,20.2
Vincent Kibet KETER,KEN,men_1500m,2022,217.04,213.16,3.88,1,0.0,-1.83,20.2
Vincent Kibet KETER,KEN,men_1500m,2023,213.16,213.16,0.0,3,2.0603,2.05,20.2
George MILLS,GBR,men_1500m,2021,216.31,213.16,3.15,3,0.3707,0.0,23.1
George MILLS,GBR,men_1500m,2022,215.3,213.16,2.14,6,0.8082,1.01,23.1
George MILLS,GBR,men_1500m,2023,213.16,213.16,0.0,2,0.4879,2.14,23.1
Jye EDWARDS,AUS,men_1500m,2021,213.23,213.23,0.0,7,1.367,0.0,23.3
Jye EDWARDS,AUS,men_1500m,2022,217.97,213.23,4.74,1,0.0,-4.74,23.3
Jye EDWARDS,AUS,men_1500m,2023,216.77,213.23,3.54,2,0.8061,-3.54,23.3
Ignacio FONTES,ESP,men_1500m,2021,213.27,213.27,0.0,9,1.719,0.0,23.2
Ignacio FONTES,ESP,men_1500m,2022,214.71,213.27,1.44,6,1.0831,-1.44,23.2
Ignacio FONTES,ESP,men_1500m,2023,215.53,213.27,2.26,2,0.495,-2.26,23.2
Ronald KWEMOI,KEN,men_1500m,2021,213.34,213.34,0.0,5,1.5044,0.0,25.8
Justyn KNIGHT,CAN,men_1500m,2021,213.41,213.41,0.0,3,1.6758,0.0,24.8
Pietro ARESE,ITA,men_1500m,2021,217.23,213.56,3.67,1,0.0,0.0,22.9
Pietro ARESE,ITA,men_1500m,2022,215.0,213.56,1.44,3,1.55,2.23,22.9
Pietro ARESE,ITA,men_1500m,2023,213.56,213.56,0.0,3,1.2975,1.44,22.9
Abdellatif SADIKI,MAR,men_1500m,2021,213.59,213.59,0.0,6,1.2834,0.0,23.0
Abdellatif SADIKI,MAR,men_1500m,2022,213.93,213.59,0.34,4,2.0618,-0.34,23.0
Abdellatif SADIKI,MAR,men_1500m,2023,215.66,213.59,2.07,2,1.6405,-2.07,23.0
Bethwell BIRGEN,KEN,men_1500m,2021,213.64,213.64,0.0,2,0.799,0.0,32.8
Craig ENGELS,USA,men_1500m,2021,213.64,213.64,0.0,3,2.2161,0.0,27.2
Craig ENGELS,USA,men_1500m,2022,217.14,213.64,3.5,1,0.0,-3.5,27.2
Craig ENGELS,USA,men_1500m,2023,216.79,213.64,3.15,1,0.0,-3.15,27.2
Colby ALEXANDER,USA,men_1500m,2021,213.65,213.65,0.0,2,1.5274,0.0,30.6
Colby ALEXANDER,USA,men_1500m,2022,216.76,213.65,3.11,2,0.2758,-3.11,30.6
Salim KEDDAR,ALG,men_1500m,2021,216.19,213.68,2.51,6,0.6261,0.0,27.6
Salim KEDDAR,ALG,men_1500m,2022,216.85,213.68,3.17,1,0.0,-0.66,27.6
Salim KEDDAR,ALG,men_1500m,2023,213.68,213.68,0.0,3,1.4742,2.51,27.6
Matthew CENTROWITZ,USA,men_1500m,2021,213.69,213.69,0.0,4,1.609,0.0,31.8
Matthew CENTROWITZ,USA,men_1500m,2023,216.64,213.69,2.95,1,0.0,-2.95,31.8
Melkeneh AZIZE,ETH,men_1500m,2021,213.74,213.74,0.0,1,0.0,0.0,18.5
Melkeneh AZIZE,ETH,men_1500m,2023,214.29,213.74,0.55,2,1.3859,-0.55,18.5
Eliud KIPSANG,KEN,men_1500m,2021,215.49,213.74,1.75,6,0.958,0.0,24.7
Eliud KIPSANG,KEN,men_1500m,2022,213.74,213.74,0.0,2,2.086,1.75,24.7
Eliud KIPSANG,KEN,men_1500m,2023,217.69,213.74,3.95,1,0.0,-3.95,24.7
Charlie DA'VALL GRICE,GBR,men_1500m,2021,213.81,213.81,0.0,5,1.5446,0.0,27.7
Sadik MIKHOU,BRN,men_1500m,2021,213.81,213.81,0.0,1,0.0,0.0,30.9
Jonathan DAVIS,USA,men_1500m,2022,213.81,213.81,0.0,3,1.93,0.0,24.7
Brian KOMEN,KEN,men_1500m,2023,213.84,213.84,0.0,3,1.0863,0.0,24.9
Jimmy GRESSIER,FRA,men_1500m,2021,215.97,213.9,2.07,1,0.0,0.0,26.1
Jimmy GRESSIER,FRA,men_1500m,2022,216.09,213.9,2.19,1,0.0,-0.12,26.1
Jimmy GRESSIER,FRA,men_1500m,2023,213.9,213.9,0.0,3,1.1467,2.07,26.1
Julian RANC,FRA,men_1500m,2021,217.74,213.9,3.84,1,0.0,0.0,26.7
Julian RANC,FRA,men_1500m,2023,213.9,213.9,0.0,2,2.489,3.84,26.7
William PAULSON,CAN,men_1500m,2021,215.42,213.97,1.45,2,1.5203,0.0,27.5
William PAULSON,CAN,men_1500m,2022,213.97,213.97,0.0,5,1.0845,1.45,27.5
