athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Augustin BEY,FRA,men_LJ,2021,8.16,8.16,0.0,2,0.099,0.0,26.0
Augustin BEY,FRA,men_LJ,2022,8.0,8.16,0.16,1,0.0,-0.16,26.0
Jovan VAN VUUREN,RSA,men_LJ,2021,8.03,8.16,0.13,3,0.01,0.0,25.7
Jovan VAN VUUREN,RSA,men_LJ,2022,8.16,8.16,0.0,6,0.0463,0.13,25.7
Cordell TINCH,USA,men_LJ,2023,8.16,8.16,0.0,1,0.0,0.0,22.9
Muhammed Anees YAHIYA,IND,men_LJ,2021,8.0,8.15,0.15,1,0.0,0.0,26.5
Muhammed Anees YAHIYA,IND,men_LJ,2022,8.15,8.15,0.0,3,0.0635,0.15,26.5
Alejandro A. PARADA,CUB,men_LJ,2022,8.06,8.15,0.09,1,0.0,0.0,18.7
Alejandro A. PARADA,CUB,men_LJ,2023,8.15,8.15,0.0,2,0.0354,0.09,18.7
Liam ADCOCK,AUS,men_LJ,2023,8.15,8.15,0.0,5,0.0471,0.0,26.8
Xinglong GAO,CHN,men_LJ,2021,8.13,8.13,0.0,1,0.0,0.0,27.3
Jordan TURNER,JAM,men_LJ,2023,8.13,8.13,0.0,1,0.0,0.0,20.7
Marquise GOODWIN,USA,men_LJ,2021,8.12,8.12,0.0,1,0.0,0.0,30.4
Lester Alcides LESCAY GAY,CUB,men_LJ,2021,8.12,8.12,0.0,1,0.0,0.0,20.6
Lester Alcides LESCAY GAY,CUB,men_LJ,2022,8.06,8.12,0.06,1,0.0,-0.06,20.6
Lester Alcides LESCAY GAY,CUB,men_LJ,2023,8.09,8.12,0.03,1,0.0,-0.03,20.6
Maximilian ENTHOLZNER,GER,men_LJ,2021,8.12,8.12,0.0,1,0.0,0.0,26.9
Erwan KONATE,FRA,men_LJ,2021,8.12,8.12,0.0,1,0.0,0.0,18.8
Erwan KONATE,FRA,men_LJ,2022,8.08,8.12,0.04,1,0.0,-0.04,18.8
