athlete_name,country,discipline,year,season_best,career_best,pb_gap,meets_count,consistency,yoy_improvement,age
Chastity PICKETT,USA,women_400h,2023,54.86,54.86,0.0,2,0.5374,0.0,
Jiadie MO,CHN,women_400h,2021,54.89,54.89,0.0,1,0.0,0.0,22.4
Jiadie MO,CHN,women_400h,2022,55.61,54.89,0.72,2,0.1838,-0.72,22.4
Jiadie MO,CHN,women_400h,2023,55.55,54.89,0.66,2,0.2687,-0.66,22.4
Taylon BIELDT,RSA,women_400h,2022,55.3,54.91,0.39,4,0.2913,0.0,24.0
Taylon BIELDT,RSA,women_400h,2023,54.91,54.91,0.0,4,0.4593,0.39,24.0
Joanna LINKIEWICZ,POL,women_400h,2021,54.93,54.93,0.0,2,0.5233,0.0,31.2
Leah NUGENT,JAM,women_400h,2021,54.98,54.98,0.0,5,0.3556,0.0,28.6
Zurian HECHAVARRÍA,CUB,women_400h,2021,54.99,54.99,0.0,5,0.3625,0.0,26.0
Zurian HECHAVARRÍA,CUB,women_400h,2022,55.68,54.99,0.69,1,0.0,-0.69,26.0
Eleonora MARCHIANDO,ITA,women_400h,2021,55.16,55.13,0.03,2,0.3677,0.0,24.2
Eleonora MARCHIANDO,ITA,women_400h,2022,55.69,55.13,0.56,1,0.0,-0.53,24.2
Eleonora MARCHIANDO,ITA,women_400h,2023,55.13,55.13,0.0,1,0.0,0.03,24.2
Chayenne DA SILVA,BRA,women_400h,2021,55.15,55.15,0.0,3,0.4179,0.0,21.4
Deshae WISE,USA,women_400h,2022,55.99,55.15,0.84,2,0.0,0.0,
Deshae WISE,USA,women_400h,2023,55.15,55.15,0.0,2,0.3818,0.84,
Wenda NEL,RSA,women_400h,2021,55.16,55.16,0.0,9,0.2518,0.0,32.9
Wenda NEL,RSA,women_400h,2022,55.84,55.16,0.68,2,0.0283,-0.68,32.9
Nikoleta JÍCHOVÁ,CZE,women_400h,2022,55.48,55.17,0.31,4,0.1917,0.0,22.7
Nikoleta JÍCHOVÁ,CZE,women_400h,2023,55.17,55.17,0.0,6,0.2799,0.31,22.7
Ashley SPENCER,USA,women_400h,2021,55.25,55.19,0.06,4,0.2906,0.0,28.0
Ashley SPENCER,USA,women_400h,2022,55.19,55.19,0.0,3,0.3107,0.06,28.0
Shae ANDERSON,USA,women_400h,2021,55.21,55.21,0.0,1,0.0,0.0,22.1
Sara Slott PETERSEN,DEN,women_400h,2021,55.21,55.21,0.0,4,0.2267,0.0,34.2
Yasmin GIGER,SUI,women_400h,2021,55.25,55.25,0.0,2,0.5233,0.0,22.2
Yasmin GIGER,SUI,women_400h,2022,55.9,55.25,0.65,1,0.0,-0.65,22.2
Yasmin GIGER,SUI,women_400h,2023,55.48,55.25,0.23,1,0.0,-0.23,22.2
Grace CLAXTON,PUR,women_400h,2022,55.25,55.25,0.0,5,0.2401,0.0,28.8
Noura ENNADI,MAR,women_400h,2023,55.28,55.28,0.0,5,0.2109,0.0,24.2
Shannon MEISBERGER,USA,women_400h,2021,55.7,55.39,0.31,1,0.0,0.0,22.9
Shannon MEISBERGER,USA,women_400h,2022,55.39,55.39,0.0,4,0.2408,0.31,22.9
Rebecca SARTORI,ITA,women_400h,2022,55.4,55.4,0.0,6,0.2315,0.0,25.1
Portia BING,NZL,women_400h,2021,55.99,55.44,0.55,1,0.0,0.0,28.9
Portia BING,NZL,women_400h,2022,55.44,55.44,0.0,7,0.1573,0.55,28.9
Sage WATSON,CAN,women_400h,2021,55.46,55.46,0.0,5,0.1972,0.0,26.9
Lauren HOFFMAN,USA,women_400h,2022,55.47,55.47,0.0,6,0.236,0.0,23.2
Lauren HOFFMAN,USA,women_400h,2023,55.77,55.47,0.3,1,0.0,-0.3,23.2
Hayley MCLEAN,GBR,women_400h,2022,55.48,55.48,0.0,2,0.099,0.0,27.8
Brooke OVERHOLT,CAN,women_400h,2023,55.5,55.5,0.0,2,0.1909,0.0,23.2
Tia-Adana BELLE,BAR,women_400h,2021,55.69,55.51,0.18,2,0.2192,0.0,25.9
Tia-Adana BELLE,BAR,women_400h,2022,55.75,55.51,0.24,4,0.0812,-0.06,25.9
Tia-Adana BELLE,BAR,women_400h,2023,55.51,55.51,0.0,1,0.0,0.18,25.9
Linda OLIVIERI,ITA,women_400h,2021,55.54,55.54,0.0,4,0.1655,0.0,23.0
Linda OLIVIERI,ITA,women_400h,2022,55.69,55.54,0.15,2,0.1838,-0.15,23.0
Kiah SEYMOUR,USA,women_400h,2021,55.57,55.57,0.0,2,0.1909,0.0,27.4
Yadisleidis PEDROSO,ITA,women_400h,2021,55.57,55.57,0.0,3,0.13,0.0,34.5
Fatoumata Binta DIALLO,POR,women_400h,2023,55.57,55.57,0.0,1,0.0,0.0,23.2
Shani'a BELLAMY,USA,women_400h,2023,55.58,55.58,0.0,3,0.2285,0.0,21.3
Vanessa WATSON,USA,women_400h,2023,55.59,55.59,0.0,2,0.0354,0.0,21.5
Lashanna GRAHAM,JAM,women_400h,2023,55.59,55.59,0.0,1,0.0,0.0,22.7
Sparkle MC KNIGHT,TTO,women_400h,2021,55.62,55.62,0.0,1,0.0,0.0,29.5
Deonca BOOKMAN,USA,women_400h,2021,55.66,55.66,0.0,1,0.0,0.0,25.7
Thi Lan QUACH,VIE,women_400h,2021,55.71,55.71,0.0,1,0.0,0.0,25.8
Elisabeth SLETTUM,NOR,women_400h,2022,55.77,55.77,0.0,1,0.0,0.0,35.8
Camille SERI,FRA,women_400h,2022,55.79,55.79,0.0,2,0.0354,0.0,23.1
Sydni TOWNSEND,USA,women_400h,2023,55.79,55.79,0.0,3,0.1058,0.0,23.2
Meghan BEESLEY,GBR,women_400h,2021,55.8,55.8,0.0,3,0.0586,0.0,31.6
Jessica WRIGHT,USA,women_400h,2023,55.81,55.81,0.0,2,0.1202,0.0,
Gisèle WENDER,GER,women_400h,2022,55.84,55.84,0.0,1,0.0,0.0,21.2
Noelle MONTCALM,CAN,women_400h,2021,55.85,55.85,0.0,1,0.0,0.0,33.3
Eileen DEMES,GER,women_400h,2023,55.86,55.86,0.0,1,0.0,0.0,25.7
Sanique WALKER,JAM,women_400h,2023,55.87,55.87,0.0,1,0.0,0.0,23.1
Jessica TAPPIN,GBR,women_400h,2022,55.89,55.89,0.0,1,0.0,0.0,32.0
Aminat JAMAL,BRN,women_400h,2021,55.9,55.9,0.0,1,0.0,0.0,24.1
Gezelle MAGERMAN,RSA,women_400h,2021,55.91,55.91,0.0,1,0.0,0.0,24.2
Annina FAHR,SUI,women_400h,2023,55.92,55.92,0.0,1,0.0,0.0,30.1
Aliaksandra KHILMANOVICH,BLR,women_400h,2021,55.93,55.93,0.0,1,0.0,0.0,24.5
Nicole KENDALL,GBR,women_400h,2021,55.93,55.93,0.0,1,0.0,0.0,25.5
Abby GLYNN,USA,women_400h,2023,55.94,55.94,0.0,1,0.0,0.0,
Linda ANGOUNOU,CMR,women_400h,2023,55.94,55.94,0.0,1,0.0,0.0,30.8
Kimisha CHAMBERS,JAM,women_400h,2022,56.0,56.0,0.0,1,0.0,0.0,25.6
Kaila BARBER,USA,women_400h,2022,56.0,56.0,0.0,1,0.0,0.0,29.2
