discipline,year,competition,date,athlete_name,place,mark,tier,name_key
men_HJ,2018,European Athletics Championships,2018-08-11,Maksim NEDASEKAU,2,2.33,continental,MAKSIM NEDASEKAU
men_HJ,2018,European Athletics Championships,2018-08-11,Ilya IVANYUK,3,2.31,continental,ILYA IVANYUK
men_HJ,2018,IAAF Continental Cup,2018-09-08,Donald THOMAS,1,2.30,continental,DONALD THOMAS
men_HJ,2018,IAAF Continental Cup,2018-09-08,Brandon STARC,2,2.30,continental,BRANDON STARC
men_HJ,2018,IAAF Continental Cup,2018-09-08,Maksim NEDASEKAU,3,2.27,continental,MAKSIM NEDASEKAU
men_JT,2018,Diamond League Final,2018-08-18,Andreas HOFMANN,1,91.44,dl_final,ANDREAS HOFMANN
men_JT,2018,Diamond League Final,2018-08-18,Magnus KIRT,2,87.57,dl_final,MAGNUS KIRT
men_JT,2018,Diamond League Final,2018-08-18,Thomas RÖHLER,3,85.76,dl_final,THOMAS ROHLER
men_JT,2018,European Athletics Championships,2018-08-09,Thomas RÖHLER,1,89.47,continental,THOMAS ROHLER
men_JT,2018,European Athletics Championships,2018-08-09,Andreas HOFMANN,2,87.60,continental,ANDREAS HOFMANN
men_JT,2018,European Athletics Championships,2018-08-09,Magnus KIRT,3,85.96,continental,MAGNUS KIRT
men_JT,2018,IAAF Continental Cup,2018-09-09,Thomas RÖHLER,1,87.07,continental,THOMAS ROHLER
men_JT,2018,IAAF Continental Cup,2018-09-09,Chao-Tsun CHENG,2,83.28,continental,CHAO-TSUN CHENG
men_JT,2018,IAAF Continental Cup,2018-09-09,Anderson PETERS,3,80.86,continental,ANDERSON PETERS
men_LJ,2018,Diamond League Final,2018-08-18,Luvo MANYONGA,1,8.36,dl_final,LUVO MANYONGA
men_LJ,2018,Diamond League Final,2018-08-18,Ruswahl SAMAAI,2,8.32,dl_final,RUSWAHL SAMAAI
men_LJ,2018,Diamond League Final,2018-08-18,Henry FRAYNE,3,8.16,dl_final,HENRY FRAYNE
men_LJ,2018,European Athletics Championships,2018-08-08,Miltiadis TENTOGLOU,1,8.25,continental,MILTIADIS TENTOGLOU
men_LJ,2018,European Athletics Championships,2018-08-08,Fabian HEINLE,2,8.13,continental,FABIAN HEINLE
men_LJ,2018,European Athletics Championships,2018-08-08,Serhiy NYKYFOROV,3,8.13,continental,SERHIY NYKYFOROV
men_LJ,2018,IAAF Continental Cup,2018-09-08,Ruswahl SAMAAI,1,8.16,continental,RUSWAHL SAMAAI
men_LJ,2018,IAAF Continental Cup,2018-09-08,Miltiadis TENTOGLOU,2,8.00,continental,MILTIADIS TENTOGLOU
men_LJ,2018,IAAF Continental Cup,2018-09-08,Jeff HENDERSON,3,7.98,continental,JEFF HENDERSON
